employee,duty,shift,bid
1 Samuel Brown,Problem Resolution,Early,1.0
1 Samuel Brown,Customer Service,Late,1.0
1 Samuel Brown,Handling Oversized Mail,Night,1.0
2 Noah Chen,Labeling,Early,1.0
2 Noah Chen,Handling Specialised Items,Late,1.0
2 Noah Chen,Quality Control Checks,Night,1.0
3 Olivia Dubois,Machine Operation,Early,1.0
3 Olivia Dubois,Scanning and Bar Coding,Late,1.0
3 Olivia Dubois,Record Keeping,Night,1.0
4 Belissica Gellor,Safety Compliance,Early,1.0
4 Belissica Gellor,Coordination with Transportation,Late,1.0
4 Belissica Gellor,Cleaning and maintenance,Night,1.0
5 Max Ivanov,Quality Control Checks,Early,1.0
5 Max Ivanov,Machine Operation,Late,1.0
5 Max Ivanov,Cleaning and maintenance,Night,1.0
6 Zoe Jones,Customer Service,Early,1.0
6 Zoe Jones,Package Inspection,Late,1.0
6 Zoe Jones,Customer Service,Night,1.0
7 Emma Nguyen,Bagging and Bundling,Early,1.0
7 Emma Nguyen,Record Keeping,Late,1.0
7 Emma Nguyen,Handling Specialised Items,Night,1.0
8 Mia Rossi,Safety Compliance,Early,1.0
8 Mia Rossi,Mail Sorting,Late,1.0
8 Mia Rossi,Quality Control Checks,Night,1.0
9 Carlos Garcia,Loading and Unloading,Early,1.0
9 Carlos Garcia,Quality Control Checks,Late,1.0
9 Carlos Garcia,Coordination with Transportation,Night,1.0
10 Ann Michele van der Sar,Package Inspection,Early,1.0
10 Ann Michele van der Sar,Data Entry,Late,1.0
10 Ann Michele van der Sar,Problem Resolution,Night,1.0
11 Ava Patel,Handling Oversized Mail,Early,1.0
11 Ava Patel,Mail Sorting,Late,1.0
11 Ava Patel,Customer Service,Night,1.0
12 Kimble Rand,Handling Specialised Items,Early,1.0
12 Kimble Rand,Mail Sorting,Late,1.0
12 Kimble Rand,Quality Control Checks,Night,1.0
13 Aiden Martin,Loading and Unloading,Early,1.0
13 Aiden Martin,Quality Control Checks,Late,1.0
